Metric,Value
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,1
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,1
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79992
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79998
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000796478
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000100269
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000174776
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000100269
design_powergrid__voltage__worst,0.000100269
design_powergrid__voltage__worst__net:VPWR,1.79992
design_powergrid__drop__worst,0.000100269
design_powergrid__drop__worst__net:VPWR,0.0000796478
design_powergrid__voltage__worst__net:VGND,0.000100269
design_powergrid__drop__worst__net:VGND,0.000100269
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00002099999999999999883795211153003634763081208802759647369384765625
ir__drop__worst,0.000079599999999999996821466174967696360909030772745609283447265625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
